image_id,page_id,image_src,image_alt,is_external,scraped_at
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_1,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_2,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_3,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_4,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_5,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_6,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_7,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_8,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_9,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_10,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_11,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_12,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_13,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_14,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_15,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_16,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_17,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_18,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_19,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_20,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_21,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True,2026-02-16T17:48:59.888523+00:00
